age,league,season,position,Current Club,nationality,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur,Position_NEW
22,Premier League,2021/2022,Midfielder,Arsenal,England,2996.0,38.0,2.0,0.0,13.0,0.54,0.21,0.33,0.37,1.11,0.18,31.8,25.27,1.2,1.74,0.93,0.81,0.66,2.07,3.05,1.29,0.0,0.0,0.78,0.06,0.63,0.03,0.0,0.51,0.26,0.21,1.77,1.17,0.25,0.69,11.11,4.94,1.41,0.87,53.0,54.0,-1.0,1.0,7.05,2.89,1.24,0.0,5.27,0.71,42.16,0.0,79.47,53.45,0.0,2.0,18.97,4.34,44.47,26.36,0.0,1.0,0.0,0.0,81250000.0,Wingers
22,Premier League,2022/2023,Midfielder,Arsenal,England,3194.0,38.0,2.0,1.0,14.0,0.7,0.31,0.39,0.22,1.16,0.17,34.57,28.04,1.75,1.69,0.9,0.79,0.34,2.14,3.52,1.52,0.0,0.0,0.65,0.0,0.42,0.08,0.0,0.25,0.32,0.24,1.83,1.21,0.3,0.45,11.92,5.55,1.61,1.1,36.0,19.0,-1.0,3.0,7.34,4.61,1.5,0.0,4.29,0.74,43.2,0.0,81.09,53.33,0.0,0.0,23.33,5.18,46.57,22.29,0.0,2.0,0.0,1789954.0,116666666.66666669,Strikers
38,Eredivisie,2022/2023,Forward,Fortuna Sittard,Turkey,2217.0,26.0,6.0,0.0,6.0,0.53,0.16,0.37,0.3,1.5,0.32,22.08,16.6,0.32,2.4,1.06,1.34,0.08,1.18,1.62,0.45,0.0,0.0,0.32,0.0,1.14,0.12,0.0,1.3,0.17,0.13,1.66,0.77,0.3,1.1,8.2,3.53,1.22,0.12,39.0,84.0,-1.0,1.0,6.89,0.58,1.15,0.0,6.56,1.27,27.5,0.0,75.18,44.07,0.0,3.0,15.25,3.35,43.07,20.0,0.0,0.0,0.0,269999.0,568750.0,Wingers
38,Ligue 1,2021/2022,Forward,Lille,Turkey,2218.0,31.0,2.0,0.0,9.0,0.28,0.12,0.16,0.28,1.1,0.45,21.34,16.03,0.24,2.23,1.1,1.14,0.08,0.97,0.85,0.2,0.0,0.0,0.61,0.08,0.45,0.04,0.0,1.66,0.14,0.15,0.93,0.97,0.21,1.06,7.02,2.43,0.97,0.32,132.0,131.0,-1.0,2.0,6.51,1.35,0.77,0.0,11.0,0.9,23.81,0.0,75.1,49.09,0.0,1.0,9.09,1.94,34.68,19.05,0.0,0.0,0.0,0.0,689583.3333333334,Wingers
27,Premier League,2021/2022,Defender,Leicester City,Turkey,2498.0,28.0,0.0,0.0,5.0,0.04,0.0,0.04,0.0,1.44,0.18,69.18,58.55,1.69,0.25,0.04,0.22,1.15,0.11,0.29,0.14,0.0,0.0,0.58,0.94,4.04,0.0,0.0,0.04,0.11,0.03,0.5,0.86,0.03,3.31,9.04,5.66,0.11,0.07,253.0,373.0,111.0,14.0,6.89,0.18,0.11,0.0,7.0,0.21,50.0,0.0,84.64,14.29,0.0,0.0,14.29,5.61,62.55,40.0,0.0,0.0,0.0,0.0,30000000.0,Central Defenders
27,Premier League,2022/2023,Defender,Leicester City,Turkey,529.0,7.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,2.21,0.34,51.38,40.15,2.38,0.68,0.34,0.34,1.02,0.17,0.17,0.17,0.0,0.0,0.51,1.36,4.93,0.0,0.0,0.0,0.09,0.13,0.68,1.19,0.13,4.25,11.74,7.49,0.0,0.0,119.0,395.0,183.0,15.0,6.89,0.0,0.0,0.0,4.0,0.29,100.0,0.0,78.15,50.0,0.0,0.0,25.0,6.29,63.77,0.0,0.0,0.0,0.0,0.0,14000000.0,Central Defenders
26,Ligue 1,2021/2022,Defender,Monaco,Brazil,2670.0,34.0,0.0,0.0,10.0,0.34,0.27,0.07,0.0,0.94,0.17,49.96,39.37,1.79,0.4,0.2,0.2,0.88,1.45,1.08,0.4,0.0,0.0,1.04,0.2,1.15,0.0,0.0,0.07,0.3,0.06,0.74,0.64,0.06,0.44,6.84,3.37,0.2,0.91,206.0,37.0,36.0,8.0,7.0,3.71,0.18,0.0,6.0,0.18,37.5,0.0,78.81,50.0,0.0,1.0,16.67,2.94,49.26,21.43,0.0,0.0,0.0,0.0,20000000.0,Attacking Midfielders
26,Ligue 1,2022/2023,Defender,Monaco,Brazil,2898.0,35.0,0.0,0.0,9.0,0.31,0.28,0.03,0.06,1.27,0.09,47.92,38.51,2.27,0.28,0.19,0.09,0.78,1.61,0.81,0.53,0.0,0.0,0.99,0.25,1.55,0.0,0.0,0.03,0.3,0.03,0.78,0.47,0.03,0.5,6.93,4.07,0.28,1.27,253.0,26.0,86.0,14.0,7.03,4.97,0.26,0.0,9.0,0.09,65.38,0.0,80.36,66.67,0.0,0.0,11.11,3.74,58.74,23.56,0.0,0.0,0.0,2111000.0,20000000.0,Attacking Midfielders
29,Serie A,2021/2022,Forward,Genoa,Ghana,1717.0,30.0,0.0,0.0,6.0,0.16,0.1,0.05,0.11,1.42,0.1,21.81,15.41,1.0,1.36,0.37,1.0,0.47,0.84,2.73,1.36,0.0,0.0,0.89,0.26,0.31,0.0,0.0,0.1,0.13,0.08,1.68,1.15,0.08,1.89,13.79,5.92,1.99,0.1,232.0,167.0,-1.0,3.0,6.74,0.43,1.27,0.0,26.0,0.63,50.0,0.0,70.67,26.92,0.0,0.0,3.85,3.77,42.97,15.38,0.0,0.0,0.0,0.0,1650000.0,Attacking Midfielders
22,Serie A,2022/2023,Defender,Atalanta,Nigeria,951.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.85,0.28,41.36,31.23,1.99,0.57,0.19,0.38,2.93,0.0,0.09,0.0,0.0,0.0,1.32,0.47,4.26,0.0,0.0,0.0,0.08,0.02,0.76,1.42,0.02,4.07,12.4,6.81,0.47,0.0,379.0,376.0,31.0,24.0,6.26,0.12,0.29,0.0,0.0,0.24,0.0,0.0,75.51,33.33,0.0,0.0,0.0,4.24,54.96,0.0,0.0,0.0,0.0,1136200.0,8666666.666666666,Central Defenders
