full_name,age,league,season,position,Current Club,nationality,file_name,player_year_key,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur
Aaron Cresswell,33,Premier League,2021/2022,Defender,West Ham United,England,england-premier-league-players-2021-to-2022-stats.csv,aaron-cresswell-2021/2022,2728.0,31.0,0.0,0.0,7.0,0.16,0.1,0.07,0.07,1.12,0.1,56.32,46.52,0.96,0.36,0.13,0.23,1.15,1.02,0.56,0.26,0.0,0.0,0.4,0.59,2.11,0.0,0.0,0.07,0.21,0.05,0.33,0.46,0.05,1.06,4.65,2.61,0.13,1.12,213.0,144.0,69.0,7.0,7.05,4.68,0.13,0.0,5.5,0.23,47.06,0.0,82.6,36.36,0.0,0.0,18.18,2.55,56.03,23.45,0.0,0.0,0.0,0.0,2750000.0
Aaron Cresswell,34,Premier League,2022/2023,Defender,West Ham United,England,england-premier-league-players-2022-to-2023-stats.csv,aaron-cresswell-2022/2023,2235.0,28.0,0.0,0.0,8.0,0.04,0.04,0.0,0.0,1.25,0.12,44.21,36.2,0.85,0.12,0.04,0.08,1.05,1.53,0.2,0.08,0.0,0.0,0.72,0.4,2.05,0.0,0.0,0.08,0.15,0.0,0.32,0.36,0.0,1.17,4.91,2.42,0.28,1.57,403.0,226.0,78.0,17.0,6.63,4.61,0.25,0.0,0.0,0.07,40.0,0.0,81.88,33.33,0.0,0.0,0.0,2.14,49.18,30.23,0.0,0.0,0.0,0.0,1050000.0
Aaron Hickey,21,Premier League,2022/2023,Defender,Brentford,Scotland,england-premier-league-players-2022-to-2023-stats.csv,aaron-hickey-2022/2023,1930.0,25.0,0.0,0.0,6.0,0.05,0.05,0.0,0.0,1.35,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,211.0,97.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28333333.333333332
Aaron Hickey,21,Serie A,2020/2021,Defender,Bologna,Scotland,italy-serie-a-players-2020-to-2021-stats.csv,aaron-hickey-2020/2021,763.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.77,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,294.0,153.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8666666.666666666
Aaron Hickey,21,Serie A,2021/2022,Defender,Bologna,Scotland,italy-serie-a-players-2021-to-2022-stats.csv,aaron-hickey-2021/2022,2835.0,36.0,0.0,0.0,12.0,0.19,0.03,0.16,0.06,1.27,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,268.0,79.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000000.0
Aaron Lennon,36,Premier League,2021/2022,Midfielder,Burnley,England,england-premier-league-players-2021-to-2022-stats.csv,aaron-lennon-2021/2022,1548.0,28.0,0.0,0.0,9.0,0.12,0.0,0.12,0.25,1.34,0.12,19.11,13.97,1.88,0.46,0.23,0.23,0.46,0.51,1.71,0.74,0.0,0.0,1.37,0.23,0.46,0.0,0.0,0.23,0.04,0.08,1.14,1.08,0.08,0.4,9.47,4.16,0.74,0.17,155.0,288.0,-1.0,5.0,6.36,1.43,0.46,0.0,4.0,0.14,43.33,0.0,73.13,50.0,0.0,0.0,25.0,2.61,43.98,7.5,0.0,0.0,0.0,0.0,800000.0
Aaron Meijers,35,Eredivisie,2021/2022,Defender,Sparta Rotterdam,Netherlands,netherlands-eredivisie-players-2021-to-2022-stats.csv,aaron-meijers-2021/2022,740.0,12.0,0.0,0.0,3.0,0.24,0.24,0.0,0.0,1.34,0.36,34.18,23.59,2.43,0.36,0.0,0.36,0.49,1.09,0.73,0.24,0.0,0.0,1.22,0.12,3.41,0.0,0.0,0.0,0.23,0.01,1.58,0.36,0.01,1.46,9.85,5.59,0.61,0.97,253.0,41.0,76.0,17.0,6.78,2.58,0.42,0.0,0.0,0.25,33.33,0.0,69.04,0.0,0.0,0.0,0.0,3.83,56.79,25.81,0.0,0.0,0.0,0.0,250000.0
Aaron Meijers,36,Eredivisie,2022/2023,Defender,Sparta Rotterdam,Netherlands,netherlands-eredivisie-players-2022-to-2023-stats.csv,aaron-meijers-2022/2023,566.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.95,0.0,52.97,40.88,3.67,0.18,0.18,0.0,0.73,1.1,0.73,0.37,0.0,0.0,1.83,0.37,2.93,0.0,0.0,0.0,0.14,0.01,2.02,1.1,0.01,2.2,13.75,8.25,0.37,0.55,311.0,290.0,28.0,21.0,5.84,1.44,0.12,0.0,0.0,0.0,50.0,0.0,77.16,100.0,0.0,0.0,0.0,2.81,60.0,13.04,0.0,0.0,0.0,149672.0,200000.0
Aaron Ramsdale,25,Premier League,2021/2022,Goalkeeper,Arsenal,England,england-premier-league-players-2021-to-2022-stats.csv,aaron-ramsdale-2021/2022,3060.0,34.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.06,0.03,29.71,18.59,0.06,0.0,0.0,0.0,0.0,0.0,0.03,0.03,2.65,3.79,0.03,0.0,1.12,0.0,0.35,0.0,0.04,0.0,0.15,0.0,0.0,0.21,0.5,0.41,0.0,0.0,282.0,293.0,63.0,21.0,6.94,0.0,0.0,2.65,0.0,0.0,100.0,69.77,62.57,0.0,49.0,0.0,0.0,0.41,82.35,0.0,0.0,0.0,0.0,0.0,29000000.0
Aaron Ramsdale,25,Premier League,2022/2023,Goalkeeper,Arsenal,England,england-premier-league-players-2022-to-2023-stats.csv,aaron-ramsdale-2022/2023,3420.0,38.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.08,0.03,24.58,15.74,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,2.45,3.58,0.0,0.0,0.89,0.0,0.37,0.0,0.03,0.0,0.11,0.0,0.0,0.18,0.34,0.32,0.0,0.0,358.0,356.0,41.0,22.0,6.88,0.0,0.0,2.45,0.0,0.0,100.0,68.38,64.03,0.0,71.0,0.0,0.0,0.32,92.31,0.0,0.0,0.0,0.0,3584072.0,34500000.0
Aaron Ramsey,32,Serie A,2020/2021,Midfielder,Juventus,Wales,italy-serie-a-players-2020-to-2021-stats.csv,aaron-ramsey-2020/2021,1093.0,22.0,0.0,0.0,6.0,0.49,0.33,0.16,0.17,0.91,0.16,57.64,50.23,1.81,1.56,0.91,0.66,0.66,2.55,1.07,0.82,0.0,0.0,1.24,0.16,0.49,0.08,0.0,0.16,0.39,0.16,1.48,1.56,0.16,0.66,9.72,4.78,0.74,0.91,131.0,17.0,-1.0,9.0,6.98,1.0,0.41,0.0,9.5,0.36,76.92,0.0,87.14,57.89,0.0,1.0,10.53,2.64,49.15,50.0,0.0,0.0,0.0,0.0,7500000.0
Aaron Ramsey,33,Ligue 1,2022/2023,Midfielder,Nice,Wales,france-ligue-1-players-2022-to-2023-stats.csv,aaron-ramsey-2022/2023,1592.0,27.0,0.0,0.0,8.0,0.11,0.06,0.06,0.11,0.57,0.17,57.62,50.53,2.72,0.79,0.34,0.45,1.02,1.59,0.91,0.62,0.0,0.0,1.25,0.23,0.91,0.0,0.0,0.17,0.18,0.06,1.08,1.3,0.06,0.34,10.09,4.76,1.81,0.85,204.0,212.0,-1.0,9.0,6.99,2.26,1.19,0.0,14.0,0.3,68.75,0.0,87.7,42.86,0.0,1.0,7.14,3.11,47.19,24.59,0.0,0.0,0.0,5450000.0,8500000.0
Aaron Wan-Bissaka,25,Premier League,2021/2022,Defender,Manchester United,England,england-premier-league-players-2021-to-2022-stats.csv,aaron-wan-bissaka-2021/2022,1794.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.56,0.1,47.01,38.08,2.46,0.1,0.05,0.05,1.71,0.7,3.06,1.81,0.0,0.0,0.3,0.7,1.61,0.0,0.0,0.05,0.12,0.01,0.65,0.75,0.01,0.95,10.43,5.87,0.65,0.4,353.0,358.0,124.0,25.0,6.92,1.75,0.65,0.0,0.0,0.05,59.02,0.0,81.0,50.0,0.0,0.0,0.0,5.85,56.25,22.86,0.0,0.0,0.0,0.0,22750000.0
Aaron Wan-Bissaka,26,Premier League,2022/2023,Defender,Manchester United,England,england-premier-league-players-2022-to-2023-stats.csv,aaron-wan-bissaka-2022/2023,1436.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.44,0.13,43.37,36.16,2.44,0.19,0.13,0.06,1.25,0.94,2.13,1.07,0.0,0.0,0.13,0.5,2.19,0.0,0.0,0.0,0.1,0.01,0.13,0.69,0.01,0.75,7.9,4.39,0.56,0.19,395.0,380.0,1.0,22.0,7.07,0.74,0.47,0.0,0.0,0.05,50.0,0.0,83.38,66.67,0.0,0.0,0.0,3.68,55.56,21.43,0.0,0.0,0.0,5378745.0,22333333.333333332
Aarón Martín,26,Bundesliga,2021/2022,Defender,Mainz 05,Spain,germany-bundesliga-players-2021-to-2022-stats.csv,aaron-martin-2021/2022,2294.0,28.0,0.0,0.0,7.0,0.08,0.04,0.04,0.0,1.29,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,215.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0
Aarón Martín,26,Bundesliga,2022/2023,Defender,Mainz 05,Spain,germany-bundesliga-players-2022-to-2023-stats.csv,aaron-martin-2022/2023,1845.0,28.0,0.0,1.0,6.0,0.39,0.15,0.24,0.17,1.46,0.15,33.18,26.58,2.05,0.78,0.39,0.39,0.73,1.32,0.93,0.54,0.0,0.0,0.98,0.05,1.27,0.05,0.0,0.1,0.18,0.15,0.54,1.32,0.19,0.05,7.08,3.18,0.68,1.86,87.0,105.0,78.0,5.0,6.94,5.26,0.52,0.0,3.2,0.3,57.89,0.0,80.12,50.0,0.0,0.0,31.25,2.41,44.83,26.76,0.0,0.0,0.0,2332200.0,6000000.0
Aarón Martín,26,La Liga,2020/2021,Defender,Celta de Vigo,Spain,spain-la-liga-players-2020-to-2021-stats.csv,aaron-martin-2020/2021,1539.0,19.0,0.0,0.0,5.0,0.18,0.18,0.0,0.0,1.4,0.06,39.27,32.32,1.99,0.18,0.06,0.12,0.76,0.35,1.46,0.99,0.0,0.0,1.34,0.18,1.99,0.0,0.0,0.18,0.18,0.01,0.88,1.46,0.01,0.88,9.53,4.73,0.41,0.23,326.0,77.0,146.0,14.0,6.66,2.84,0.37,0.0,0.0,0.11,68.0,0.0,82.29,33.33,0.0,0.0,0.0,4.26,49.69,7.41,0.0,0.0,0.0,0.0,2208333.333333333
Abdallah Sima,22,Ligue 1,2022/2023,Forward,Angers SCO,Senegal,france-ligue-1-players-2022-to-2023-stats.csv,abdallah-sima-2022/2023,1832.0,34.0,0.0,0.0,3.0,0.29,0.05,0.25,0.09,2.01,0.0,17.15,13.17,1.08,1.62,0.49,1.13,0.15,0.74,2.16,0.98,0.0,0.0,0.59,0.0,0.98,0.1,0.0,0.59,0.09,0.2,1.23,1.57,0.2,2.06,13.31,5.35,1.62,0.1,72.0,227.0,-1.0,1.0,6.7,0.47,0.97,0.0,6.6,0.68,45.45,0.0,76.79,30.3,0.0,1.0,15.15,3.21,40.22,12.5,0.0,0.0,0.0,960000.0,6500000.0
Abde Ezzalzouli,22,La Liga,2022/2023,Midfielder,CA Osasuna,Spain,spain-la-liga-players-2022-to-2023-stats.csv,abde-ezzalzouli-2022/2023,1520.0,28.0,0.0,0.0,8.0,0.36,0.12,0.24,0.18,0.89,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,126.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15000000.0
Abdelhamid Sabiri,26,Serie A,2021/2022,Midfielder,Sampdoria,Morocco,italy-serie-a-players-2021-to-2022-stats.csv,abdelhamid-sabiri-2021/2022,894.0,14.0,0.0,0.0,3.0,0.5,0.2,0.3,0.0,1.31,0.3,32.14,25.01,3.42,1.21,0.9,0.3,0.8,1.41,3.01,1.71,0.0,0.0,1.81,0.2,0.3,0.0,0.0,0.1,0.22,0.24,3.52,2.01,0.24,2.61,20.69,11.25,1.81,0.5,64.0,66.0,-1.0,5.0,7.08,1.07,1.29,0.0,4.0,0.21,56.67,0.0,77.81,75.0,0.0,0.0,25.0,8.0,54.37,33.33,0.0,0.0,0.0,0.0,3333333.3333333335
Abdelhamid Sabiri,27,Serie A,2022/2023,Midfielder,Sampdoria,Morocco,italy-serie-a-players-2022-to-2023-stats.csv,abdelhamid-sabiri-2022/2023,1069.0,18.0,1.0,1.0,4.0,0.17,0.0,0.17,0.19,1.43,0.42,33.76,24.92,1.52,1.94,0.93,1.01,0.17,1.18,2.69,1.18,0.0,0.0,0.76,0.34,0.34,0.17,0.0,0.0,0.11,0.06,3.28,2.36,0.18,2.53,17.68,8.5,2.27,0.84,113.0,369.0,-1.0,4.0,6.71,3.0,1.5,0.0,11.5,0.67,43.75,0.0,73.82,47.83,0.0,0.0,8.7,5.61,48.1,18.52,0.0,0.0,0.0,151224.0,2750000.0
Abdou Diallo,27,Bundesliga,2022/2023,Defender,RB Leipzig,France,germany-bundesliga-players-2022-to-2023-stats.csv,abdou-diallo-2022/2023,476.0,8.0,0.0,0.0,3.0,0.19,0.0,0.19,0.0,0.76,0.38,70.7,60.38,1.15,0.76,0.0,0.76,1.34,0.19,1.15,0.57,0.0,0.0,0.38,0.96,3.63,0.0,0.0,0.19,0.13,0.13,0.38,0.57,0.13,2.29,8.41,4.39,0.38,0.0,122.0,237.0,3.0,13.0,7.01,0.14,0.29,0.0,4.0,0.57,50.0,0.0,85.41,0.0,0.0,0.0,25.0,3.29,52.27,0.0,0.0,0.0,0.0,5501600.0,9500000.0
Abdou Diallo,27,Ligue 1,2021/2022,Defender,PSG,France,france-ligue-1-players-2021-to-2022-stats.csv,abdou-diallo-2021/2022,877.0,12.0,0.0,0.0,5.0,0.1,0.1,0.0,0.0,0.92,0.1,64.96,58.29,2.26,0.21,0.1,0.1,1.03,0.41,2.67,1.95,0.0,0.0,0.62,0.21,1.33,0.0,0.0,0.0,0.21,0.01,0.31,1.23,0.01,1.44,9.65,5.95,0.62,0.51,327.0,144.0,29.0,34.0,6.95,1.5,0.5,0.0,0.0,0.08,73.08,0.0,89.73,50.0,0.0,0.0,0.0,4.83,61.7,27.78,0.0,0.0,0.0,0.0,18333333.333333332
Abdou Harroui,25,Serie A,2021/2022,Midfielder,Sassuolo,Morocco,italy-serie-a-players-2021-to-2022-stats.csv,abdou-harroui-2021/2022,436.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.24,0.41,58.97,52.34,2.28,1.66,0.41,1.24,0.83,1.03,1.24,0.62,0.0,0.0,0.62,0.0,0.62,0.0,0.0,0.0,0.16,0.06,0.41,2.69,0.06,1.24,11.38,4.55,1.03,0.0,324.0,319.0,-1.0,13.0,6.34,0.32,0.23,0.0,0.0,0.27,50.0,0.0,88.77,25.0,0.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,3000000.0
Abdou Harroui,26,Serie A,2022/2023,Midfielder,Sassuolo,Morocco,italy-serie-a-players-2022-to-2023-stats.csv,abdou-harroui-2022/2023,632.0,23.0,0.0,0.0,8.0,0.28,0.0,0.28,0.35,1.0,0.28,41.66,34.99,2.67,1.78,0.59,1.19,0.44,0.89,2.08,1.48,0.0,0.0,0.74,0.15,1.33,0.15,0.0,0.15,0.13,0.24,0.44,1.93,0.24,1.33,11.57,5.93,1.78,0.44,53.0,288.0,-1.0,6.0,6.37,0.5,0.55,0.0,6.0,0.36,71.43,0.0,83.99,33.33,0.0,0.0,16.67,1.82,51.28,27.27,0.0,0.0,0.0,234000.0,2700000.0
Abdoulaye Ba,32,Liga NOS,2020/2021,Defender,Moreirense FC,Senegal,portugal-liga-nos-players-2020-to-2021-stats.csv,abdoulaye-ba-2020/2021,983.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.92,0.18,34.97,28.02,1.46,0.55,0.18,0.37,1.46,0.0,0.46,0.27,0.0,0.0,0.73,0.55,3.39,0.09,0.0,0.18,0.07,0.02,0.37,0.55,0.02,2.66,7.14,4.76,0.0,0.0,220.0,253.0,41.0,15.0,6.94,0.0,0.0,0.0,0.0,0.33,60.0,0.0,80.1,33.33,0.0,0.0,0.0,4.33,66.67,0.0,0.0,0.0,0.0,0.0,500000.0
Abdoulaye Ba,32,Liga NOS,2021/2022,Defender,FC Arouca,Senegal,portugal-liga-nos-players-2021-to-2022-stats.csv,abdoulaye-ba-2021/2022,1431.0,21.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.57,0.25,49.15,40.16,1.57,0.5,0.13,0.38,1.89,0.19,0.25,0.19,0.0,0.0,0.44,0.5,4.02,0.0,0.0,0.06,0.1,0.02,0.31,1.13,0.02,2.33,6.91,4.4,0.06,0.0,227.0,330.0,139.0,21.0,6.53,0.0,0.05,0.0,0.0,0.29,75.0,0.0,81.71,25.0,0.0,0.0,0.0,3.33,63.64,0.0,0.0,0.0,0.0,0.0,400000.0
Abdoulaye Bamba,33,Ligue 1,2021/2022,Defender,Angers SCO,Ivory Coast,france-ligue-1-players-2021-to-2022-stats.csv,abdoulaye-bamba-2021/2022,453.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.79,0.2,26.03,20.26,1.19,0.2,0.0,0.2,1.79,0.4,0.2,0.0,0.0,0.0,1.39,0.2,2.19,0.0,0.0,0.0,0.05,0.0,1.19,0.99,0.0,1.19,7.35,3.58,0.2,0.2,416.0,389.0,160.0,22.0,4.55,1.0,0.1,0.0,0.0,0.1,0.0,0.0,77.86,0.0,0.0,0.0,0.0,1.8,48.65,10.0,0.0,0.0,0.0,0.0,450000.0
Abdoulaye Bamba,33,Ligue 1,2022/2023,Defender,Angers SCO,Ivory Coast,france-ligue-1-players-2022-to-2023-stats.csv,abdoulaye-bamba-2022/2023,1355.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.32,0.13,43.01,38.15,1.4,0.0,0.0,0.0,1.06,0.27,0.53,0.27,0.0,0.0,0.33,0.2,2.13,0.0,0.0,0.27,0.09,0.0,0.86,0.66,0.0,1.0,5.98,3.52,0.33,0.27,420.0,421.0,189.0,25.0,6.45,0.9,0.24,0.0,0.0,0.0,50.0,0.0,88.72,0.0,0.0,0.0,0.0,2.52,58.89,21.05,0.0,0.0,0.0,212000.0,400000.0
Abdoulaye Doucouré,30,Premier League,2021/2022,Midfielder,Everton,Mali,england-premier-league-players-2021-to-2022-stats.csv,abdoulaye-doucoure-2021/2022,2538.0,30.0,0.0,0.0,6.0,0.21,0.14,0.07,0.0,1.63,0.21,38.22,30.44,2.65,0.74,0.39,0.35,0.99,0.67,1.42,0.71,0.0,0.0,1.34,0.32,1.06,0.04,0.0,0.04,0.17,0.07,0.57,1.38,0.07,1.24,10.65,5.17,0.78,0.04,208.0,105.0,-1.0,9.0,6.9,0.37,0.73,0.0,10.5,0.33,50.0,0.0,79.63,52.38,0.0,0.0,9.52,4.87,48.5,9.09,0.0,0.0,0.0,0.0,17333333.333333332
Abdoulaye Doucouré,31,Premier League,2022/2023,Midfielder,Everton,Mali,england-premier-league-players-2022-to-2023-stats.csv,abdoulaye-doucoure-2022/2023,1527.0,25.0,0.0,0.0,6.0,0.41,0.12,0.29,0.54,1.47,0.47,30.92,24.27,1.71,0.88,0.47,0.41,0.65,1.3,1.65,1.06,0.0,0.0,1.53,0.18,0.59,0.0,0.0,0.47,0.18,0.22,0.24,1.24,0.22,0.77,9.72,3.77,0.82,0.12,56.0,118.0,-1.0,2.0,6.46,0.32,0.56,0.0,3.0,0.28,64.29,0.0,78.48,53.33,0.0,0.0,33.33,2.56,38.79,25.0,0.0,1.0,0.0,7170040.0,12000000.0
Abdoulaye Touré,29,Serie A,2021/2022,Midfielder,Genoa,France,italy-serie-a-players-2021-to-2022-stats.csv,abdoulaye-toure-2021/2022,434.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.87,0.21,34.92,27.02,2.49,0.62,0.0,0.62,0.83,0.42,1.87,1.25,0.0,0.0,1.25,0.21,1.25,0.0,0.0,0.0,0.06,0.02,1.87,0.62,0.02,1.25,10.81,6.65,0.83,0.0,292.0,302.0,-1.0,13.0,5.87,0.38,0.5,0.0,0.0,0.38,66.67,0.0,77.38,0.0,0.0,0.0,0.0,4.0,61.54,0.0,0.0,0.0,0.0,0.0,2433333.3333333335
Abdu Conté,25,Liga NOS,2020/2021,Defender,Moreirense FC,Portugal,portugal-liga-nos-players-2020-to-2021-stats.csv,abdu-conte-2020/2021,1845.0,22.0,0.0,0.0,6.0,0.15,0.15,0.0,0.0,1.12,0.1,36.95,29.04,1.42,0.34,0.05,0.29,0.78,0.88,1.42,0.54,0.0,0.0,0.44,0.0,0.83,0.0,0.0,0.15,0.18,0.01,1.22,1.61,0.01,0.73,8.1,3.86,0.68,1.17,216.0,74.0,75.0,17.0,6.75,4.18,0.64,0.0,0.0,0.27,37.93,0.0,78.6,14.29,0.0,0.0,0.0,3.59,47.59,26.09,0.0,0.0,0.0,0.0,1300000.0
Abdu Conté,25,Liga NOS,2021/2022,Defender,Moreirense FC,Portugal,portugal-liga-nos-players-2021-to-2022-stats.csv,abdu-conte-2021/2022,1379.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.44,0.13,35.24,27.93,1.5,0.26,0.07,0.2,0.52,0.59,2.28,1.5,0.0,0.0,0.26,0.13,1.04,0.0,0.0,0.0,0.07,0.01,0.78,1.83,0.01,0.46,7.77,4.24,0.33,0.52,245.0,333.0,127.0,27.0,6.8,3.75,0.31,0.0,0.0,0.19,65.71,0.0,79.26,25.0,0.0,0.0,0.0,4.06,54.62,13.33,0.0,0.0,0.0,0.0,2666666.6666666665
Abdu Conté,25,Ligue 1,2021/2022,Defender,Troyes,Portugal,france-ligue-1-players-2021-to-2022-stats.csv,abdu-conte-2021/2022,1356.0,17.0,0.0,0.0,4.0,0.07,0.07,0.0,0.0,1.33,0.13,29.36,21.54,1.46,0.13,0.07,0.07,0.27,0.6,1.33,0.73,0.0,0.0,0.73,0.13,0.53,0.0,0.0,0.13,0.11,0.01,0.93,0.93,0.01,0.6,7.16,3.71,0.46,0.46,312.0,205.0,107.0,15.0,6.62,2.41,0.41,0.0,0.0,0.06,55.0,0.0,73.36,50.0,0.0,0.0,0.0,3.29,51.85,17.07,0.0,0.0,0.0,0.0,2666666.6666666665
Abdu Conté,25,Ligue 1,2022/2023,Defender,Troyes,Portugal,france-ligue-1-players-2022-to-2023-stats.csv,abdu-conte-2022/2023,1317.0,19.0,0.0,0.0,1.0,0.21,0.14,0.07,0.14,1.71,0.0,40.35,32.07,1.71,0.27,0.21,0.07,0.41,0.96,0.96,0.14,0.0,0.0,0.62,0.41,1.37,0.0,0.0,0.21,0.18,0.05,0.82,0.82,0.05,1.03,7.04,3.69,0.62,0.62,185.0,97.0,140.0,12.0,6.75,1.95,0.47,0.0,4.0,0.05,14.29,0.0,79.49,75.0,0.0,0.0,25.0,2.84,52.43,24.32,0.0,0.0,0.0,518000.0,1750000.0
Abdul Mumin,25,La Liga,2022/2023,Defender,Rayo Vallecano,Ghana,spain-la-liga-players-2022-to-2023-stats.csv,abdul-mumin-2022/2023,915.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.48,0.2,37.57,28.82,1.08,0.39,0.1,0.3,0.89,0.1,0.79,0.39,0.0,0.0,0.39,0.49,3.34,0.0,0.0,0.0,0.06,0.02,0.79,0.69,0.02,1.28,7.28,3.54,0.49,0.1,276.0,302.0,149.0,15.0,6.11,0.12,0.31,0.0,0.0,0.19,50.0,0.0,76.7,25.0,0.0,0.0,0.0,2.25,48.65,50.0,0.0,0.0,0.0,0.0,1750000.0
Abdul Mumin,25,Liga NOS,2020/2021,Defender,Vitória Guimarães,Ghana,portugal-liga-nos-players-2020-to-2021-stats.csv,abdul-mumin-2020/2021,2028.0,25.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.29,0.27,47.58,39.75,0.83,0.21,0.0,0.21,0.92,0.04,0.17,0.08,0.0,0.0,0.25,0.17,3.83,0.0,0.0,0.0,0.08,0.01,0.62,1.12,0.01,1.58,6.29,3.12,0.17,0.0,320.0,322.0,120.0,26.0,6.6,0.04,0.17,0.0,0.0,0.21,50.0,0.0,83.54,0.0,0.0,0.0,0.0,3.12,49.67,0.0,0.0,0.0,0.0,0.0,2233333.3333333335
