full_name,age,league,season,position,Current Club,nationality,file_name,player_year_key,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur
João Mário,30,Liga NOS,2021/2022,Midfielder,Benfica,Portugal,portugal-liga-nos-players-2021-to-2022-stats.csv,joao-mario-2021/2022,1739.0,28.0,0.0,0.0,11.0,0.31,0.16,0.16,0.21,0.88,0.1,60.83,54.25,2.12,0.88,0.52,0.36,0.73,1.97,1.55,0.93,0.0,0.0,0.62,0.16,0.1,0.0,0.0,0.0,0.3,0.13,1.71,1.81,0.13,0.67,9.84,5.34,0.83,1.61,110.0,74.0,-1.0,8.0,7.2,3.04,0.57,0.0,5.67,0.25,60.0,0.0,89.18,58.82,0.0,0.0,17.65,3.68,54.21,36.47,0.0,0.0,0.0,0.0,8150000.0
João Mário,31,Liga NOS,2022/2023,Midfielder,Benfica,Portugal,portugal-liga-nos-players-2022-to-2023-stats.csv,joao-mario-2022/2023,2660.0,33.0,7.0,3.0,20.0,0.81,0.24,0.58,0.65,0.58,0.2,47.79,41.87,1.42,1.73,1.08,0.64,0.34,1.86,2.2,1.08,0.0,0.0,0.95,0.03,0.27,0.1,0.0,0.2,0.32,0.16,1.76,1.52,0.4,0.44,10.05,4.7,1.12,1.08,8.0,40.0,-1.0,2.0,7.36,3.48,1.0,0.0,3.0,0.58,49.23,0.0,87.61,62.75,0.0,1.0,33.33,4.21,46.8,27.83,0.0,5.0,0.0,2648599.0,12157142.857142856
João Neves,19,Liga NOS,2022/2023,Midfielder,Benfica,Portugal,portugal-liga-nos-players-2022-to-2023-stats.csv,joao-neves-2022/2023,600.0,14.0,0.0,0.0,10.0,0.15,0.0,0.15,0.3,0.6,0.15,73.08,63.79,4.04,1.65,0.75,0.9,1.2,0.75,2.1,1.05,0.0,0.0,1.95,0.45,0.45,0.15,0.0,0.0,0.16,0.15,3.29,2.25,0.15,2.1,18.42,10.48,1.2,0.0,127.0,237.0,-1.0,11.0,5.61,0.41,0.47,0.0,11.0,0.35,50.0,0.0,87.3,45.45,0.0,0.0,9.09,4.12,56.91,0.0,0.0,0.0,0.0,0.0,19375000.0
João Nunes,28,Liga NOS,2022/2023,Defender,Casa Pia,Portugal,portugal-liga-nos-players-2022-to-2023-stats.csv,joao-nunes-2022/2023,1641.0,26.0,0.0,0.0,7.0,0.05,0.0,0.05,0.0,1.21,0.11,42.89,33.29,2.03,0.44,0.33,0.11,1.43,0.16,0.38,0.33,0.0,0.0,0.71,0.93,3.78,0.0,0.0,0.0,0.07,0.05,0.49,0.77,0.05,1.97,7.46,4.83,0.0,0.05,216.0,325.0,103.0,13.0,6.87,0.35,0.0,0.0,8.0,0.08,85.71,0.0,77.62,75.0,0.0,1.0,12.5,3.38,64.71,11.11,0.0,0.0,0.0,90000.0,500000.0
João Palhinha,28,Liga NOS,2020/2021,Midfielder,Sporting CP,Portugal,portugal-liga-nos-players-2020-to-2021-stats.csv,joao-palhinha-2020/2021,2501.0,32.0,0.0,0.0,18.0,0.04,0.0,0.04,0.0,0.58,0.25,46.85,38.94,3.78,0.83,0.22,0.61,1.76,0.47,1.04,0.76,0.0,0.0,1.26,0.07,1.4,0.04,0.0,0.0,0.09,0.05,2.63,2.88,0.05,3.38,17.02,10.44,0.94,0.04,197.0,264.0,-1.0,15.0,7.19,0.06,0.81,0.0,23.0,0.53,72.41,0.0,83.1,26.09,0.0,0.0,4.35,9.06,61.31,50.0,0.0,0.0,0.0,0.0,18800000.0
João Palhinha,28,Liga NOS,2021/2022,Midfielder,Sporting CP,Portugal,portugal-liga-nos-players-2021-to-2022-stats.csv,joao-palhinha-2021/2022,1880.0,27.0,0.0,0.0,15.0,0.14,0.0,0.14,0.21,0.62,0.38,50.79,44.62,3.97,0.91,0.53,0.38,1.34,0.53,1.15,0.67,0.0,0.0,1.2,0.14,1.1,0.05,0.0,0.05,0.12,0.13,2.68,2.63,0.13,1.87,15.18,9.19,0.91,0.05,121.0,311.0,-1.0,11.0,7.13,0.26,0.7,0.0,6.33,0.3,58.33,0.0,87.84,57.89,0.0,0.0,15.79,7.11,60.57,14.29,0.0,0.0,0.0,0.0,26500000.0
João Palhinha,28,Premier League,2022/2023,Midfielder,Fulham,Portugal,england-premier-league-players-2022-to-2023-stats.csv,joao-palhinha-2022/2023,3113.0,35.0,0.0,0.0,9.0,0.09,0.0,0.09,0.06,1.13,0.4,35.79,29.65,4.32,0.77,0.27,0.51,1.28,0.15,0.8,0.42,0.0,0.0,1.61,0.15,1.58,0.0,0.0,0.03,0.09,0.08,1.49,1.37,0.08,1.99,13.46,8.22,0.83,0.0,181.0,362.0,-1.0,8.0,7.01,0.09,0.82,0.0,8.67,0.5,51.85,0.0,82.86,34.62,0.0,0.0,11.54,8.12,61.06,0.0,0.0,0.0,0.0,2140000.0,47500000.0
João Pedro,30,Liga NOS,2020/2021,Midfielder,CD Tondela,Portugal,portugal-liga-nos-players-2020-to-2021-stats.csv,joao-pedro-2020/2021,2559.0,31.0,2.0,0.0,6.0,0.25,0.07,0.18,0.07,1.58,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,141.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4534375.0
João Pedro,30,Liga NOS,2021/2022,Midfielder,CD Tondela,Portugal,portugal-liga-nos-players-2021-to-2022-stats.csv,joao-pedro-2021/2022,1917.0,29.0,7.0,0.0,2.0,0.47,0.09,0.38,0.2,1.78,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,144.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6558333.333333333
João Pedro,30,Liga NOS,2022/2023,Midfielder,GD Chaves,Portugal,portugal-liga-nos-players-2022-to-2023-stats.csv,joao-pedro-2022/2023,589.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.07,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,265.0,-1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9677272.727272728
