full_name,age,league,season,position,Current Club,nationality,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur,agg_labels,Position Clusters
Wilfried Gnonto,20,Premier League,2022/2023,Forward,Leeds United,Italy,1351.0,24.0,0.0,0.0,3.0,0.4,0.27,0.13,0.11,1.6,0.47,29.09,22.35,1.8,0.93,0.53,0.4,0.27,1.47,3.87,1.2,0.0,0.0,1.27,0.07,0.2,0.0,0.0,0.2,0.26,0.12,2.6,1.73,0.12,0.53,14.34,6.14,1.4,0.53,145.0,29.0,-1.0,9.0,6.64,1.83,0.91,0.0,7.0,0.26,31.03,0.0,76.83,57.14,0.0,0.0,14.29,4.0,42.79,19.05,0.0,0.0,0.0,0.0,18000000.0,1,Attacker / Winger
Wilfried Kanga,26,Bundesliga,2022/2023,Forward,Hertha BSC,France,1420.0,23.0,0.0,0.0,2.0,0.13,0.0,0.13,0.0,1.33,0.19,15.08,9.44,0.32,1.39,0.51,0.89,0.13,1.27,1.33,0.44,0.0,0.0,0.13,0.19,0.89,0.13,0.0,0.7,0.08,0.13,0.76,1.14,0.13,3.3,12.04,4.82,1.08,0.13,165.0,303.0,-1.0,8.0,6.41,0.35,0.74,0.0,11.0,0.61,33.33,0.0,62.61,36.36,0.0,0.0,9.09,3.3,40.0,25.0,0.0,0.0,0.0,769051.0,3166666.6666666665,8,Wingers
Wilfried Singo,23,Serie A,2022/2023,Defender,Torino,Ivory Coast,2055.0,31.0,0.0,0.0,9.0,0.13,0.04,0.09,0.08,1.09,0.35,38.52,29.68,1.18,0.88,0.44,0.44,0.48,1.01,1.84,1.27,0.0,0.0,0.26,0.09,1.18,0.0,0.0,0.04,0.12,0.09,1.53,1.84,0.09,2.23,10.77,6.22,0.83,0.53,199.0,243.0,75.0,7.0,6.59,1.81,0.61,0.0,10.0,0.32,69.05,0.0,77.05,50.0,0.0,0.0,10.0,4.58,57.72,21.43,0.0,0.0,0.0,204526.0,15000000.0,0,Defensive Midfielders
Wilfried Zaha,31,Premier League,2022/2023,Forward,Crystal Palace,Ivory Coast,2294.0,27.0,0.0,2.0,6.0,0.35,0.08,0.27,0.17,1.29,0.2,23.66,19.29,1.27,1.55,0.9,0.65,0.65,1.14,4.33,1.92,0.0,0.0,0.37,0.04,0.25,0.12,0.0,0.45,0.14,0.18,2.94,1.27,0.24,0.25,14.31,6.38,3.31,0.25,66.0,176.0,-1.0,2.0,6.61,1.35,3.12,0.0,5.43,0.62,44.34,0.0,81.52,57.89,0.0,1.0,18.42,6.0,44.57,17.14,0.0,1.0,0.0,7767916.0,21500000.0,1,Attacker / Winger
Will Hughes,28,Premier League,2022/2023,Midfielder,Crystal Palace,England,828.0,27.0,0.0,0.0,6.0,0.22,0.11,0.11,0.0,1.09,0.43,36.94,30.42,2.97,0.46,0.46,0.0,1.72,0.57,0.91,0.34,0.0,0.0,1.03,0.8,1.03,0.0,0.0,0.0,0.16,0.09,0.69,2.17,0.09,0.57,10.52,4.57,1.14,0.11,164.0,143.0,-1.0,12.0,6.4,0.42,0.42,0.0,4.0,0.0,37.5,0.0,82.35,100.0,0.0,0.0,25.0,1.67,43.48,10.0,0.0,0.0,0.0,3283807.0,7000000.0,0,Defensive Midfielders
Willi Orban,31,Bundesliga,2022/2023,Defender,RB Leipzig,Germany,2952.0,33.0,0.0,0.0,10.0,0.12,0.0,0.12,0.06,1.19,0.09,78.66,70.19,1.61,0.71,0.32,0.39,1.19,0.13,0.39,0.19,0.0,0.0,0.45,0.61,3.93,0.0,0.0,0.1,0.14,0.1,1.03,0.55,0.1,3.35,9.92,6.18,0.19,0.0,169.0,346.0,35.0,6.0,7.19,0.06,0.19,0.0,5.5,0.38,50.0,0.0,89.23,45.45,0.0,0.0,18.18,6.0,62.34,0.0,0.0,0.0,0.0,2443858.0,10000000.0,3,Centre Backs
William Carvalho,31,La Liga,2022/2023,Midfielder,Real Betis,Portugal,2453.0,33.0,0.0,0.0,13.0,0.11,0.0,0.11,0.0,0.88,0.29,62.48,54.34,1.58,0.77,0.33,0.44,0.59,0.77,1.65,1.03,0.0,0.0,0.88,0.22,0.73,0.0,0.0,0.07,0.17,0.1,1.47,1.03,0.1,1.17,9.65,5.25,0.95,0.07,158.0,405.0,-1.0,6.0,6.93,0.15,0.79,0.0,7.0,0.36,62.22,0.0,86.96,42.86,0.0,0.0,14.29,4.33,54.37,40.0,0.0,1.0,0.0,3480000.0,9666666.666666666,0,Defensive Midfielders
William Saliba,22,Premier League,2022/2023,Defender,Arsenal,France,2416.0,27.0,0.0,0.0,12.0,0.11,0.04,0.07,0.14,0.93,0.15,69.1,63.03,1.27,0.22,0.11,0.11,0.71,0.22,0.34,0.3,0.0,0.0,0.11,0.37,3.05,0.0,0.0,0.0,0.18,0.05,0.48,0.71,0.05,1.86,6.52,3.91,0.22,0.04,208.0,227.0,22.0,12.0,7.02,0.04,0.22,0.0,3.0,0.11,88.89,0.0,91.21,50.0,0.0,0.0,33.33,3.89,60.0,100.0,0.0,0.0,0.0,2383264.0,66250000.0,3,Centre Backs
William Troost-Ekong,30,Serie A,2022/2023,Defender,Salernitana,Nigeria,439.0,9.0,0.0,0.0,1.0,0.21,0.0,0.21,0.0,1.64,0.21,36.08,29.73,2.46,0.41,0.21,0.21,1.44,0.0,0.0,0.0,0.0,0.0,0.21,0.82,2.05,0.0,0.0,0.0,0.07,0.14,0.21,1.44,0.14,3.69,9.84,6.36,0.0,0.21,91.0,282.0,169.0,11.0,6.87,0.11,0.0,0.0,2.0,0.11,0.0,0.0,82.39,50.0,0.0,0.0,50.0,3.44,64.58,100.0,0.0,0.0,0.0,0.0,2250000.0,3,Centre Backs
Willian,35,Premier League,2022/2023,Forward,Fulham,Brazil,2143.0,27.0,0.0,0.0,8.0,0.42,0.21,0.21,0.08,0.88,0.08,33.37,27.31,0.52,1.09,0.74,0.35,0.35,2.0,2.4,1.48,0.0,0.0,0.7,0.0,0.35,0.09,0.0,0.17,0.27,0.18,1.05,0.48,0.18,0.3,7.14,3.35,1.05,0.61,96.0,55.0,-1.0,3.0,7.0,2.15,0.92,0.0,5.0,0.31,61.82,0.0,81.85,68.0,0.0,0.0,20.0,2.96,46.95,25.0,0.0,1.0,0.0,1728688.0,1675000.0,1,Attacker / Winger
