full_name,age,league,season,position,Current Club,nationality,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur,agg_labels,Position Clusters
Aaron Cresswell,34,Premier League,2022/2023,Defender,West Ham United,England,2235.0,28.0,0.0,0.0,8.0,0.04,0.04,0.0,0.0,1.25,0.12,44.21,36.2,0.85,0.12,0.04,0.08,1.05,1.53,0.2,0.08,0.0,0.0,0.72,0.4,2.05,0.0,0.0,0.08,0.15,0.0,0.32,0.36,0.0,1.17,4.91,2.42,0.28,1.57,403.0,226.0,78.0,17.0,6.63,4.61,0.25,0.0,0.0,0.07,40.0,0.0,81.88,33.33,0.0,0.0,0.0,2.14,49.18,30.23,0.0,0.0,0.0,0.0,1050000.0,2,Central Midfielders
Aaron Hickey,21,Premier League,2022/2023,Defender,Brentford,Scotland,1930.0,25.0,0.0,0.0,6.0,0.05,0.05,0.0,0.0,1.35,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,211.0,97.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28333333.333333332,7,Young High Performers
Aaron Meijers,36,Eredivisie,2022/2023,Defender,Sparta Rotterdam,Netherlands,566.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.95,0.0,52.97,40.88,3.67,0.18,0.18,0.0,0.73,1.1,0.73,0.37,0.0,0.0,1.83,0.37,2.93,0.0,0.0,0.0,0.14,0.01,2.02,1.1,0.01,2.2,13.75,8.25,0.37,0.55,311.0,290.0,28.0,21.0,5.84,1.44,0.12,0.0,0.0,0.0,50.0,0.0,77.16,100.0,0.0,0.0,0.0,2.81,60.0,13.04,0.0,0.0,0.0,149672.0,200000.0,2,Central Midfielders
Aaron Ramsdale,25,Premier League,2022/2023,Goalkeeper,Arsenal,England,3420.0,38.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.08,0.03,24.58,15.74,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,2.45,3.58,0.0,0.0,0.89,0.0,0.37,0.0,0.03,0.0,0.11,0.0,0.0,0.18,0.34,0.32,0.0,0.0,358.0,356.0,41.0,22.0,6.88,0.0,0.0,2.45,0.0,0.0,100.0,68.38,64.03,0.0,71.0,0.0,0.0,0.32,92.31,0.0,0.0,0.0,0.0,3584072.0,34500000.0,4,Goalkeepers
Aaron Ramsey,33,Ligue 1,2022/2023,Midfielder,Nice,Wales,1592.0,27.0,0.0,0.0,8.0,0.11,0.06,0.06,0.11,0.57,0.17,57.62,50.53,2.72,0.79,0.34,0.45,1.02,1.59,0.91,0.62,0.0,0.0,1.25,0.23,0.91,0.0,0.0,0.17,0.18,0.06,1.08,1.3,0.06,0.34,10.09,4.76,1.81,0.85,204.0,212.0,-1.0,9.0,6.99,2.26,1.19,0.0,14.0,0.3,68.75,0.0,87.7,42.86,0.0,1.0,7.14,3.11,47.19,24.59,0.0,0.0,0.0,5450000.0,8500000.0,0,Defensive Midfielders
Aaron Wan-Bissaka,26,Premier League,2022/2023,Defender,Manchester United,England,1436.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.44,0.13,43.37,36.16,2.44,0.19,0.13,0.06,1.25,0.94,2.13,1.07,0.0,0.0,0.13,0.5,2.19,0.0,0.0,0.0,0.1,0.01,0.13,0.69,0.01,0.75,7.9,4.39,0.56,0.19,395.0,380.0,1.0,22.0,7.07,0.74,0.47,0.0,0.0,0.05,50.0,0.0,83.38,66.67,0.0,0.0,0.0,3.68,55.56,21.43,0.0,0.0,0.0,5378745.0,22333333.333333332,2,Central Midfielders
Aarón Martín,26,Bundesliga,2022/2023,Defender,Mainz 05,Spain,1845.0,28.0,0.0,1.0,6.0,0.39,0.15,0.24,0.17,1.46,0.15,33.18,26.58,2.05,0.78,0.39,0.39,0.73,1.32,0.93,0.54,0.0,0.0,0.98,0.05,1.27,0.05,0.0,0.1,0.18,0.15,0.54,1.32,0.19,0.05,7.08,3.18,0.68,1.86,87.0,105.0,78.0,5.0,6.94,5.26,0.52,0.0,3.2,0.3,57.89,0.0,80.12,50.0,0.0,0.0,31.25,2.41,44.83,26.76,0.0,0.0,0.0,2332200.0,6000000.0,1,Attacker / Winger
Abdallah Sima,22,Ligue 1,2022/2023,Forward,Angers SCO,Senegal,1832.0,34.0,0.0,0.0,3.0,0.29,0.05,0.25,0.09,2.01,0.0,17.15,13.17,1.08,1.62,0.49,1.13,0.15,0.74,2.16,0.98,0.0,0.0,0.59,0.0,0.98,0.1,0.0,0.59,0.09,0.2,1.23,1.57,0.2,2.06,13.31,5.35,1.62,0.1,72.0,227.0,-1.0,1.0,6.7,0.47,0.97,0.0,6.6,0.68,45.45,0.0,76.79,30.3,0.0,1.0,15.15,3.21,40.22,12.5,0.0,0.0,0.0,960000.0,6500000.0,8,Wingers
Abde Ezzalzouli,22,La Liga,2022/2023,Midfielder,CA Osasuna,Spain,1520.0,28.0,0.0,0.0,8.0,0.36,0.12,0.24,0.18,0.89,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,126.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15000000.0,7,Young High Performers
Abdelhamid Sabiri,27,Serie A,2022/2023,Midfielder,Sampdoria,Morocco,1069.0,18.0,1.0,1.0,4.0,0.17,0.0,0.17,0.19,1.43,0.42,33.76,24.92,1.52,1.94,0.93,1.01,0.17,1.18,2.69,1.18,0.0,0.0,0.76,0.34,0.34,0.17,0.0,0.0,0.11,0.06,3.28,2.36,0.18,2.53,17.68,8.5,2.27,0.84,113.0,369.0,-1.0,4.0,6.71,3.0,1.5,0.0,11.5,0.67,43.75,0.0,73.82,47.83,0.0,0.0,8.7,5.61,48.1,18.52,0.0,0.0,0.0,151224.0,2750000.0,1,Attacker / Winger
Abdou Diallo,27,Bundesliga,2022/2023,Defender,RB Leipzig,France,476.0,8.0,0.0,0.0,3.0,0.19,0.0,0.19,0.0,0.76,0.38,70.7,60.38,1.15,0.76,0.0,0.76,1.34,0.19,1.15,0.57,0.0,0.0,0.38,0.96,3.63,0.0,0.0,0.19,0.13,0.13,0.38,0.57,0.13,2.29,8.41,4.39,0.38,0.0,122.0,237.0,3.0,13.0,7.01,0.14,0.29,0.0,4.0,0.57,50.0,0.0,85.41,0.0,0.0,0.0,25.0,3.29,52.27,0.0,0.0,0.0,0.0,5501600.0,9500000.0,3,Centre Backs
Abdou Harroui,26,Serie A,2022/2023,Midfielder,Sassuolo,Morocco,632.0,23.0,0.0,0.0,8.0,0.28,0.0,0.28,0.35,1.0,0.28,41.66,34.99,2.67,1.78,0.59,1.19,0.44,0.89,2.08,1.48,0.0,0.0,0.74,0.15,1.33,0.15,0.0,0.15,0.13,0.24,0.44,1.93,0.24,1.33,11.57,5.93,1.78,0.44,53.0,288.0,-1.0,6.0,6.37,0.5,0.55,0.0,6.0,0.36,71.43,0.0,83.99,33.33,0.0,0.0,16.67,1.82,51.28,27.27,0.0,0.0,0.0,234000.0,2700000.0,1,Attacker / Winger
Abdoulaye Bamba,33,Ligue 1,2022/2023,Defender,Angers SCO,Ivory Coast,1355.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.32,0.13,43.01,38.15,1.4,0.0,0.0,0.0,1.06,0.27,0.53,0.27,0.0,0.0,0.33,0.2,2.13,0.0,0.0,0.27,0.09,0.0,0.86,0.66,0.0,1.0,5.98,3.52,0.33,0.27,420.0,421.0,189.0,25.0,6.45,0.9,0.24,0.0,0.0,0.0,50.0,0.0,88.72,0.0,0.0,0.0,0.0,2.52,58.89,21.05,0.0,0.0,0.0,212000.0,400000.0,2,Central Midfielders
Abdoulaye Doucouré,31,Premier League,2022/2023,Midfielder,Everton,Mali,1527.0,25.0,0.0,0.0,6.0,0.41,0.12,0.29,0.54,1.47,0.47,30.92,24.27,1.71,0.88,0.47,0.41,0.65,1.3,1.65,1.06,0.0,0.0,1.53,0.18,0.59,0.0,0.0,0.47,0.18,0.22,0.24,1.24,0.22,0.77,9.72,3.77,0.82,0.12,56.0,118.0,-1.0,2.0,6.46,0.32,0.56,0.0,3.0,0.28,64.29,0.0,78.48,53.33,0.0,0.0,33.33,2.56,38.79,25.0,0.0,1.0,0.0,7170040.0,12000000.0,1,Attacker / Winger
Abdu Conté,25,Ligue 1,2022/2023,Defender,Troyes,Portugal,1317.0,19.0,0.0,0.0,1.0,0.21,0.14,0.07,0.14,1.71,0.0,40.35,32.07,1.71,0.27,0.21,0.07,0.41,0.96,0.96,0.14,0.0,0.0,0.62,0.41,1.37,0.0,0.0,0.21,0.18,0.05,0.82,0.82,0.05,1.03,7.04,3.69,0.62,0.62,185.0,97.0,140.0,12.0,6.75,1.95,0.47,0.0,4.0,0.05,14.29,0.0,79.49,75.0,0.0,0.0,25.0,2.84,52.43,24.32,0.0,0.0,0.0,518000.0,1750000.0,0,Defensive Midfielders
Abdul Mumin,25,La Liga,2022/2023,Defender,Rayo Vallecano,Ghana,915.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.48,0.2,37.57,28.82,1.08,0.39,0.1,0.3,0.89,0.1,0.79,0.39,0.0,0.0,0.39,0.49,3.34,0.0,0.0,0.0,0.06,0.02,0.79,0.69,0.02,1.28,7.28,3.54,0.49,0.1,276.0,302.0,149.0,15.0,6.11,0.12,0.31,0.0,0.0,0.19,50.0,0.0,76.7,25.0,0.0,0.0,0.0,2.25,48.65,50.0,0.0,0.0,0.0,0.0,1750000.0,2,Central Midfielders
Abel Ruiz,24,Liga NOS,2022/2023,Forward,Sporting Braga,Spain,2089.0,34.0,0.0,0.0,17.0,0.6,0.26,0.34,0.09,0.78,0.17,20.62,16.4,0.56,1.6,0.86,0.73,0.3,1.38,1.34,0.69,0.0,0.0,0.65,0.09,0.3,0.04,0.0,0.39,0.24,0.28,0.39,0.86,0.28,0.69,7.25,2.33,0.95,0.22,35.0,36.0,-1.0,4.0,6.84,0.56,0.65,0.0,4.62,0.5,51.61,0.0,79.5,54.05,0.0,0.0,21.62,1.59,32.14,26.32,0.0,0.0,0.0,452047.0,11000000.0,1,Attacker / Winger
Achraf Dari,24,Ligue 1,2022/2023,Defender,Brest,Morocco,1317.0,18.0,0.0,0.0,2.0,0.07,0.0,0.07,0.15,1.91,0.07,47.08,37.52,1.44,0.27,0.14,0.14,1.03,0.0,0.14,0.07,0.0,0.0,0.34,0.68,4.51,0.0,0.0,0.14,0.09,0.05,0.89,0.89,0.05,2.46,7.93,4.72,0.21,0.0,187.0,387.0,160.0,9.0,6.67,0.06,0.17,0.0,4.0,0.11,50.0,0.0,79.68,50.0,0.0,1.0,25.0,3.83,59.48,0.0,0.0,0.0,0.0,453000.0,1750000.0,3,Centre Backs
Achraf Hakimi,25,Ligue 1,2022/2023,Defender,PSG,Morocco,2052.0,28.0,0.0,0.0,11.0,0.35,0.13,0.22,0.19,0.79,0.39,61.14,55.13,2.41,0.7,0.39,0.31,0.7,1.45,2.41,1.05,0.0,0.0,1.27,0.09,0.66,0.04,0.0,0.22,0.25,0.15,0.83,1.27,0.15,0.39,9.69,4.65,0.96,0.7,82.0,110.0,11.0,4.0,6.67,1.5,0.79,0.0,3.2,0.25,43.64,0.0,90.17,56.25,0.0,1.0,31.25,3.79,47.96,38.1,0.0,0.0,0.0,12996000.0,65000000.0,1,Attacker / Winger
Adam Armstrong,27,Premier League,2022/2023,Forward,Southampton,England,1334.0,29.0,0.0,0.0,4.0,0.2,0.07,0.13,0.0,1.55,0.13,19.03,14.24,0.94,1.42,0.81,0.61,0.2,0.74,2.5,0.88,0.0,0.0,0.4,0.2,0.34,0.07,0.0,0.13,0.1,0.14,0.61,1.15,0.14,0.34,8.84,2.77,1.48,0.13,151.0,192.0,-1.0,4.0,6.6,0.47,0.73,0.0,10.5,0.3,35.14,0.0,74.82,57.14,0.0,0.0,9.52,1.37,31.3,14.29,0.0,0.0,0.0,2856948.0,12000000.0,8,Wingers
Adam Forshaw,32,Premier League,2022/2023,Midfielder,Leeds United,England,476.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.89,0.0,40.55,34.11,2.08,0.0,0.0,0.0,0.76,1.52,2.08,1.33,0.0,0.0,1.71,0.19,0.38,0.0,0.0,0.0,0.11,0.0,0.95,1.14,0.0,0.38,10.8,4.74,1.33,1.33,276.0,280.0,-1.0,20.0,6.64,1.67,0.58,0.0,0.0,0.0,63.64,0.0,84.11,0.0,0.0,0.0,0.0,2.08,43.86,35.0,0.0,0.0,0.0,1194109.0,1200000.0,2,Central Midfielders
Adam Hložek,21,Bundesliga,2022/2023,Forward,Bayer Leverkusen,Czech Republic,1288.0,29.0,0.0,0.0,7.0,0.56,0.21,0.35,0.24,1.12,0.14,21.89,16.43,0.63,1.33,0.77,0.56,0.42,1.26,1.19,0.7,0.0,0.0,0.35,0.14,0.49,0.07,0.0,0.07,0.2,0.26,1.4,1.33,0.26,1.61,10.98,4.34,1.75,0.35,53.0,65.0,-1.0,3.0,6.82,0.52,0.86,0.0,3.8,0.28,58.82,0.0,75.08,57.89,0.0,0.0,26.32,2.14,39.49,33.33,0.0,0.0,0.0,1674400.0,16500000.0,1,Attacker / Winger
Adam Lallana,35,Premier League,2022/2023,Midfielder,Brighton & Hove Albion,England,730.0,16.0,0.0,0.0,4.0,0.37,0.12,0.25,0.45,1.11,0.0,37.65,31.36,1.23,0.99,0.62,0.37,0.25,1.73,0.62,0.37,0.0,0.0,0.74,0.0,0.12,0.0,0.0,0.0,0.2,0.18,0.86,0.25,0.18,0.99,7.28,3.46,1.48,0.25,73.0,126.0,-1.0,9.0,6.41,0.19,0.75,0.0,4.0,0.19,60.0,0.0,83.28,62.5,0.0,0.0,25.0,1.75,47.46,66.67,0.0,0.0,0.0,4700000.0,1100000.0,1,Attacker / Winger
Adam Marušić,31,Serie A,2022/2023,Defender,Lazio,Montenegro,2765.0,33.0,0.0,0.0,18.0,0.07,0.07,0.0,0.0,0.75,0.33,51.53,45.11,1.37,0.39,0.23,0.16,1.17,0.29,0.39,0.26,0.0,0.0,0.42,0.2,1.76,0.03,0.0,0.03,0.15,0.01,0.46,0.72,0.01,0.91,5.47,2.99,0.42,0.16,434.0,197.0,20.0,21.0,6.93,0.55,0.39,0.0,0.0,0.15,66.67,0.0,87.56,58.33,0.0,0.0,0.0,2.79,54.76,27.78,0.0,0.0,0.0,1853800.0,6500000.0,2,Central Midfielders
Adam Masina,30,Serie A,2022/2023,Defender,Udinese,Morocco,786.0,14.0,0.0,0.0,5.0,0.23,0.0,0.23,0.24,1.49,0.23,44.43,35.27,1.15,0.23,0.23,0.0,1.15,0.23,0.34,0.34,0.0,0.0,1.03,0.46,2.98,0.0,0.0,0.0,0.09,0.15,0.11,1.26,0.15,2.98,8.24,4.58,0.11,0.46,73.0,384.0,149.0,8.0,6.63,0.71,0.07,0.0,1.0,0.0,100.0,0.0,79.38,100.0,0.0,0.0,100.0,2.86,55.56,40.0,0.0,0.0,0.0,1443717.0,2000000.0,3,Centre Backs
Adam Ounas,27,Ligue 1,2022/2023,Forward,Lille,Algeria,1065.0,21.0,0.0,0.0,7.0,0.17,0.08,0.08,0.0,1.18,0.17,40.94,32.4,1.52,1.78,0.76,1.02,0.59,2.37,5.41,2.96,0.0,0.0,0.34,0.0,0.25,0.25,0.0,0.17,0.2,0.12,2.45,1.27,0.12,0.42,14.38,7.36,2.2,1.1,177.0,175.0,-1.0,12.0,7.07,3.52,1.24,0.0,21.0,0.57,54.69,0.0,79.13,42.86,0.0,1.0,4.76,4.14,51.18,17.57,0.0,0.0,0.0,1920000.0,6000000.0,1,Attacker / Winger
Adam Smith,32,Premier League,2022/2023,Defender,AFC Bournemouth,England,2949.0,37.0,0.0,0.0,8.0,0.03,0.03,0.0,0.0,1.65,0.34,28.87,21.73,1.59,0.06,0.03,0.03,0.79,0.49,0.7,0.15,0.0,0.0,0.85,0.4,2.14,0.0,0.0,0.0,0.08,0.0,0.82,0.89,0.0,0.95,6.87,3.51,0.09,0.58,372.0,249.0,140.0,24.0,6.6,1.32,0.08,0.0,0.0,0.03,21.74,0.0,75.26,50.0,0.0,0.0,0.0,3.11,51.11,38.78,0.0,0.0,0.0,1820000.0,650000.0,2,Central Midfielders
Adam Webster,29,Premier League,2022/2023,Defender,Brighton & Hove Albion,England,1986.0,26.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.22,0.09,74.28,65.81,0.99,0.75,0.09,0.66,0.89,0.28,0.28,0.09,0.0,0.0,0.38,0.89,2.4,0.0,0.0,0.05,0.15,0.03,0.24,0.42,0.03,2.59,6.35,3.91,0.24,0.05,396.0,396.0,73.0,24.0,6.11,0.11,0.19,0.0,0.0,0.52,33.33,0.0,88.59,12.5,0.0,0.0,0.0,3.07,61.48,33.33,0.0,0.0,0.0,2268477.0,22500000.0,3,Centre Backs
Adama Traoré,28,Premier League,2022/2023,Forward,Wolverhampton Wanderers,Spain,1482.0,34.0,0.0,0.0,11.0,0.18,0.06,0.12,0.12,1.7,0.12,24.94,18.55,1.01,0.81,0.34,0.47,0.13,1.41,4.97,2.82,0.0,0.0,0.2,0.07,1.01,0.0,0.0,0.4,0.17,0.07,2.02,1.14,0.07,2.15,14.38,8.0,1.55,1.21,159.0,196.0,-1.0,4.0,6.7,2.43,0.77,0.0,12.0,0.23,56.76,0.0,74.39,41.67,0.0,0.0,8.33,3.97,55.61,24.66,0.0,0.0,0.0,2573368.0,6250000.0,1,Attacker / Winger
Ademola Lookman,26,Serie A,2022/2023,Forward,Atalanta,England,1735.0,30.0,3.0,0.0,9.0,0.99,0.31,0.67,0.69,1.19,0.16,30.97,24.28,0.67,1.82,1.35,0.47,0.16,2.07,3.32,1.45,0.0,0.0,0.52,0.0,0.05,0.1,0.0,0.57,0.31,0.4,1.87,1.24,0.51,0.21,10.84,4.2,2.44,0.62,5.0,20.0,-1.0,1.0,6.82,1.26,1.52,0.0,2.69,0.29,43.75,0.0,78.39,74.29,0.0,1.0,37.14,2.61,38.76,30.77,0.0,2.0,0.0,2451800.0,30000000.0,6,Strikers
Aderllan Santos,34,Liga NOS,2022/2023,Defender,Rio Ave FC,Brazil,2824.0,32.0,0.0,0.0,9.0,0.03,0.0,0.03,0.0,1.18,0.16,56.86,49.84,1.82,0.64,0.19,0.45,1.72,0.13,0.1,0.1,0.0,0.0,0.38,0.83,5.19,0.0,0.0,0.03,0.13,0.04,0.41,1.08,0.04,2.87,8.86,5.19,0.13,0.0,237.0,340.0,93.0,11.0,7.12,0.03,0.12,0.0,20.0,0.44,100.0,0.0,87.67,30.0,0.0,0.0,5.0,5.09,58.63,0.0,0.0,0.0,0.0,170000.0,200000.0,3,Centre Backs
Adil Auassar,37,Eredivisie,2022/2023,Midfielder,Sparta Rotterdam,Netherlands,1939.0,31.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.07,0.09,54.34,46.3,1.6,0.23,0.09,0.14,1.74,0.14,0.14,0.05,0.0,0.0,0.5,1.28,5.16,0.0,0.0,0.09,0.11,0.01,0.32,0.96,0.01,1.46,6.67,3.42,0.14,0.0,265.0,355.0,-1.0,18.0,6.49,0.06,0.09,0.0,0.0,0.09,33.33,0.0,85.21,40.0,0.0,0.0,0.0,2.34,51.37,0.0,0.0,0.0,0.0,209541.0,125000.0,3,Centre Backs
Adil Rami,38,Ligue 1,2022/2023,Defender,Troyes,France,1600.0,20.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,1.8,0.11,40.22,34.2,1.24,0.45,0.17,0.28,1.29,0.17,0.45,0.23,0.0,0.0,0.79,0.84,4.28,0.06,0.0,0.06,0.12,0.01,0.79,0.56,0.01,1.74,6.41,3.99,0.0,0.11,303.0,210.0,151.0,28.0,6.76,0.25,0.0,0.0,0.0,0.25,50.0,0.0,85.03,37.5,0.0,0.0,0.0,3.55,62.28,40.0,0.0,0.0,0.0,280000.0,250000.0,3,Centre Backs
Ado Onaiwu,28,Ligue 1,2022/2023,Forward,Toulouse,Japan,1066.0,34.0,0.0,0.0,8.0,0.25,0.08,0.17,0.0,1.44,0.0,28.07,21.22,0.87,1.39,0.35,1.04,0.17,0.69,1.04,0.35,0.0,0.0,0.69,0.09,0.43,0.09,0.0,0.26,0.12,0.15,1.3,1.3,0.15,3.12,13.69,5.63,2.43,0.09,115.0,178.0,-1.0,10.0,6.83,0.15,0.85,0.0,8.0,0.36,33.33,0.0,75.62,25.0,0.0,0.0,12.5,1.97,41.14,20.0,0.0,0.0,0.0,600000.0,1500000.0,8,Wingers
Adrian Fein,24,Eredivisie,2022/2023,Midfielder,Excelsior,Germany,729.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.36,0.25,38.77,31.48,1.73,0.25,0.12,0.12,0.37,0.62,0.37,0.25,0.0,0.0,0.49,0.25,0.99,0.0,0.0,0.0,0.1,0.01,0.25,0.99,0.01,0.62,5.06,2.84,0.12,0.25,272.0,244.0,-1.0,13.0,6.67,0.21,0.07,0.0,0.0,0.07,66.67,0.0,81.21,50.0,0.0,0.0,0.0,1.64,56.1,66.67,0.0,0.0,0.0,288464.0,550000.0,2,Central Midfielders
Adriano Firmino,24,Liga NOS,2022/2023,Midfielder,Santa Clara,Brazil,2220.0,31.0,0.0,0.0,4.0,0.08,0.04,0.04,0.0,1.62,0.28,39.42,32.37,2.11,0.28,0.08,0.2,1.05,0.61,1.26,0.81,0.0,0.0,0.73,0.49,2.03,0.0,0.0,0.08,0.11,0.03,0.89,1.22,0.03,0.53,8.07,4.34,0.69,0.0,232.0,194.0,-1.0,11.0,6.77,0.1,0.55,0.0,7.0,0.16,64.52,0.0,82.1,28.57,0.0,0.0,14.29,3.45,53.77,0.0,0.0,0.0,0.0,105300.0,500000.0,0,Defensive Midfielders
Adrien Hunou,30,Ligue 1,2022/2023,Forward,Angers SCO,France,2247.0,34.0,0.0,0.0,4.0,0.2,0.04,0.16,0.09,2.04,0.08,28.61,22.41,1.52,1.52,0.72,0.8,0.28,0.72,1.16,0.52,0.0,0.0,1.2,0.0,0.32,0.08,0.0,0.2,0.1,0.16,1.76,0.6,0.16,0.72,8.96,4.52,0.88,0.12,121.0,232.0,-1.0,4.0,6.66,0.47,0.65,0.0,9.5,0.59,44.83,0.0,78.32,47.37,0.0,2.0,10.53,3.32,50.45,18.75,0.0,0.0,0.0,1320000.0,2266666.6666666665,8,Wingers
Adrien Rabiot,28,Serie A,2022/2023,Midfielder,Juventus,France,2751.0,32.0,0.0,0.0,18.0,0.39,0.13,0.26,0.06,0.82,0.29,37.2,31.08,2.03,1.15,0.75,0.39,0.82,1.01,1.47,0.82,0.0,0.0,0.85,0.23,1.24,0.07,0.0,0.07,0.18,0.2,1.41,1.47,0.2,1.67,11.22,5.92,1.18,0.26,61.0,108.0,-1.0,2.0,7.05,1.09,1.12,0.0,4.38,0.38,55.56,0.0,83.55,65.71,0.0,0.0,22.86,5.66,52.77,22.86,0.0,2.0,0.0,8910200.0,36666666.666666664,1,Attacker / Winger
Adrien Tameze,30,Serie A,2022/2023,Midfielder,Hellas Verona,France,3130.0,38.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.32,0.09,31.18,24.41,1.57,0.24,0.06,0.18,1.09,0.65,1.24,0.65,0.0,0.0,0.95,0.41,1.57,0.0,0.0,0.03,0.09,0.01,0.95,0.98,0.01,0.77,8.37,3.93,1.04,0.12,409.0,396.0,-1.0,30.0,6.65,0.57,0.95,0.0,0.0,0.16,52.38,0.0,78.27,25.0,0.0,0.0,0.0,3.59,47.0,19.05,0.0,0.0,0.0,837200.0,6000000.0,2,Central Midfielders
Adrien Thomasson,30,Ligue 1,2022/2023,Midfielder,Lens,France,2224.0,35.0,0.0,0.0,8.0,0.49,0.28,0.2,0.17,1.25,0.12,42.31,34.58,1.86,1.25,0.57,0.69,0.28,1.42,1.21,0.81,0.0,0.0,1.98,0.08,0.65,0.08,0.0,0.36,0.29,0.17,1.5,1.5,0.17,0.77,11.12,4.93,1.42,0.32,99.0,23.0,-1.0,4.0,6.81,0.57,1.0,0.0,6.2,0.49,66.67,0.0,81.74,45.16,0.0,1.0,16.13,3.49,44.36,40.0,0.0,0.0,0.0,1224000.0,5333333.333333333,1,Attacker / Winger
Adrien Truffert,22,Ligue 1,2022/2023,Defender,Rennes,France,1961.0,28.0,0.0,0.0,9.0,0.28,0.28,0.0,0.0,1.1,0.05,52.04,42.13,2.93,0.23,0.14,0.09,0.83,1.01,1.6,0.78,0.0,0.0,0.5,0.37,2.02,0.0,0.0,0.14,0.29,0.01,1.15,0.92,0.01,1.56,10.55,6.42,0.78,0.46,387.0,22.0,59.0,15.0,6.48,1.21,0.61,0.0,0.0,0.07,48.57,0.0,80.97,60.0,0.0,0.0,0.0,5.0,60.87,29.41,0.0,0.0,0.0,513000.0,18000000.0,2,Central Midfielders
Adrián Butzke,24,Liga NOS,2022/2023,Forward,Paços de Ferreira,Spain,1332.0,26.0,1.0,0.0,2.0,0.47,0.07,0.41,0.32,1.22,0.2,22.69,17.14,0.41,2.95,1.03,1.92,0.21,1.37,1.17,0.55,0.0,0.0,0.41,0.14,0.89,0.07,0.0,0.27,0.12,0.34,1.17,1.3,0.34,4.11,13.98,6.24,1.03,0.07,25.0,165.0,-1.0,1.0,6.87,0.16,0.6,0.0,7.17,1.12,47.06,0.0,75.53,34.88,0.0,0.0,13.95,3.64,44.61,25.0,0.0,1.0,0.0,211579.0,400000.0,8,Wingers
